dimension,points,threads,type,rep,time_ms
2,1000000,4,parallel,6,1006.54
2,1000000,4,parallel,7,1018.7
2,1000000,4,parallel,8,986.89
2,1000000,4,parallel,9,1016.93
2,1000000,4,parallel,10,1039.36
2,1000000,8,parallel,1,875.78
2,1000000,8,parallel,2,919.717
2,1000000,8,parallel,3,870.105
2,1000000,8,parallel,4,944.681
2,1000000,8,parallel,5,895.017
2,1000000,8,parallel,6,925.337
2,1000000,8,parallel,7,921.958
2,1000000,8,parallel,8,917.388
2,1000000,8,parallel,9,880.237
2,1000000,8,parallel,10,912.022
3,100000,1,serial,1,385.447
3,100000,1,serial,2,393.116
3,100000,1,serial,3,389.362
3,100000,1,serial,4,379.808
3,100000,1,serial,5,388.419
3,100000,1,serial,6,378.43
3,100000,1,serial,7,365.331
3,100000,1,serial,8,382.475
3,100000,1,serial,9,409.945
3,100000,1,serial,10,374.722
3,100000,1,parallel,1,371.358
3,100000,1,parallel,2,378.961
3,100000,1,parallel,3,394.097
3,100000,1,parallel,4,393.365
3,100000,1,parallel,5,406.736
3,100000,1,parallel,6,406.765
3,100000,1,parallel,7,370.177
3,100000,1,parallel,8,377.209
3,100000,1,parallel,9,367.637
3,100000,1,parallel,10,370.25
3,100000,2,parallel,1,272.286
3,100000,2,parallel,2,258.641
3,100000,2,parallel,3,264.859
3,100000,2,parallel,4,269.64
3,100000,2,parallel,5,281.448
3,100000,2,parallel,6,267.919
3,100000,2,parallel,7,270.851
3,100000,2,parallel,8,269.006
3,100000,2,parallel,9,274.202
3,100000,2,parallel,10,256.598
3,100000,4,parallel,1,259.919
3,100000,4,parallel,2,261.81
3,100000,4,parallel,3,263.685
3,100000,4,parallel,4,266.211
3,100000,4,parallel,5,257.986
3,100000,4,parallel,6,261.71
3,100000,4,parallel,7,264.741
3,100000,4,parallel,8,273.803
3,100000,4,parallel,9,257.269
3,100000,4,parallel,10,262.017
3,100000,8,parallel,1,266.902
3,100000,8,parallel,2,280.851
3,100000,8,parallel,3,273.751
3,100000,8,parallel,4,276.952
3,100000,8,parallel,5,280.689
3,100000,8,parallel,6,280.173
3,100000,8,parallel,7,285.913
3,100000,8,parallel,8,285.642
3,100000,8,parallel,9,309.728
3,100000,8,parallel,10,280.934
3,200000,1,serial,1,412.863
3,200000,1,serial,2,382.938
3,200000,1,serial,3,396.007
3,200000,1,serial,4,414.565
3,200000,1,serial,5,401.604
3,200000,1,serial,6,388.149
3,200000,1,serial,7,403.866
3,200000,1,serial,8,381.608
3,200000,1,serial,9,395.77
3,200000,1,serial,10,384.88
3,200000,1,parallel,1,388.284
3,200000,1,parallel,2,379.918
3,200000,1,parallel,3,391.087
3,200000,1,parallel,4,381.649
3,200000,1,parallel,5,404.019
3,200000,1,parallel,6,391.341
3,200000,1,parallel,7,373.895
3,200000,1,parallel,8,390.549
3,200000,1,parallel,9,384.934
3,200000,1,parallel,10,395.473
3,200000,2,parallel,1,253.875
3,200000,2,parallel,2,257.109
3,200000,2,parallel,3,262.572
3,200000,2,parallel,4,256.249
3,200000,2,parallel,5,264.29
3,200000,2,parallel,6,255.695
3,200000,2,parallel,7,257.264
3,200000,2,parallel,8,264.653
3,200000,2,parallel,9,269.911
3,200000,2,parallel,10,257.348
3,200000,4,parallel,1,257.538
3,200000,4,parallel,2,259.73
3,200000,4,parallel,3,275.422
3,200000,4,parallel,4,260.899
3,200000,4,parallel,5,254.263
3,200000,4,parallel,6,253.704
